t0, t, x, y, z, qx, qy, qz, qw
173.092,2.009,0.0075974,-0.208487,1.65747,-0.239484,0.111395,0.131956,-0.955419
173.1,2.017,0.00759409,-0.208509,1.65752,-0.238617,0.111216,0.131742,-0.955687
173.108,2.025,0.00755222,-0.208795,1.6582,-0.266575,0.102938,0.13592,-0.948613
173.117,2.034,0.00754692,-0.208787,1.65817,-0.265651,0.103487,0.135702,-0.948844
173.125,2.042,0.00754233,-0.208786,1.65818,-0.265192,0.103502,0.135618,-0.948983
173.133,2.05,0.00756307,-0.208504,1.65757,-0.237895,0.111623,0.131512,-0.955851
173.142,2.059,0.00754154,-0.208765,1.65817,-0.264802,0.103922,0.135327,-0.949087
173.15,2.067,0.00757026,-0.208476,1.65756,-0.23665,0.112428,0.131014,-0.956134
173.158,2.075,0.00759026,-0.208448,1.65751,-0.237218,0.112139,0.131012,-0.956027
173.167,2.084,0.00759758,-0.208414,1.65761,-0.237314,0.111936,0.130987,-0.956031
173.175,2.092,0.00762032,-0.208368,1.65761,-0.23733,0.112037,0.130881,-0.95603
173.183,2.1,0.00763941,-0.208322,1.6577,-0.237779,0.112096,0.130864,-0.955913
173.192,2.109,0.00767378,-0.208251,1.65775,-0.238425,0.112174,0.130623,-0.955776
173.2,2.117,0.00771597,-0.208213,1.65781,-0.238641,0.112438,0.130411,-0.95572
173.208,2.125,0.00778875,-0.208108,1.65791,-0.239325,0.111729,0.130311,-0.955646
173.217,2.134,0.00785515,-0.207911,1.65766,-0.255222,0.106502,0.131754,-0.951924
173.225,2.142,0.00789546,-0.207429,1.65767,-0.269861,0.103748,0.132968,-0.948014
173.233,2.15,0.00778556,-0.20675,1.65864,-0.274494,0.0980963,0.13273,-0.947319
173.242,2.159,0.00793671,-0.205172,1.65885,-0.272388,0.110057,0.129886,-0.947007
173.25,2.167,0.00761796,-0.203953,1.65897,-0.319317,0.105582,0.131115,-0.932576
173.258,2.175,0.0079233,-0.20183,1.65962,-0.297259,0.107988,0.125644,-0.940314
173.267,2.184,0.00840103,-0.200326,1.6603,-0.299705,0.099003,0.119761,-0.941293
173.275,2.192,0.00934866,-0.197962,1.65916,-0.290617,0.0972847,0.114669,-0.944949
173.283,2.2,0.0107195,-0.194779,1.65983,-0.27707,0.0961713,0.109732,-0.949706
173.292,2.209,0.0121567,-0.190902,1.66063,-0.250373,0.0870085,0.104257,-0.958579
173.3,2.217,0.0138144,-0.186542,1.65938,-0.264982,0.0991699,0.100661,-0.953843
173.308,2.225,0.0156978,-0.1822,1.65955,-0.261909,0.100139,0.0960803,-0.955063
173.317,2.234,0.0177014,-0.177547,1.65822,-0.261543,0.116651,0.088679,-0.954004
173.325,2.242,0.0196091,-0.17299,1.65798,-0.276277,0.112825,0.0856783,-0.950579
173.333,2.25,0.0214761,-0.168042,1.65554,-0.294976,0.129926,0.0789447,-0.943332
173.342,2.259,0.0231915,-0.163142,1.65527,-0.30445,0.128361,0.0754437,-0.94082
173.35,2.267,0.0246408,-0.158169,1.65209,-0.341334,0.127801,0.0737625,-0.928288
173.358,2.275,0.0261752,-0.153057,1.65173,-0.307182,0.147239,0.0653225,-0.937919
173.367,2.284,0.0272396,-0.148571,1.65215,-0.314573,0.141018,0.0643837,-0.93649
173.375,2.292,0.0279291,-0.144135,1.65023,-0.320519,0.141136,0.0620951,-0.934608
173.383,2.3,0.0286248,-0.140033,1.65142,-0.32079,0.138884,0.0617235,-0.934877
173.392,2.309,0.0288605,-0.136141,1.64958,-0.334428,0.140569,0.0605694,-0.929908
173.4,2.317,0.0290747,-0.132582,1.64805,-0.315835,0.14548,0.0576023,-0.935824
173.408,2.325,0.0290867,-0.129457,1.64722,-0.317056,0.142215,0.0569743,-0.935951
173.417,2.334,0.0290335,-0.126584,1.64655,-0.31731,0.142005,0.0566358,-0.935917
173.425,2.342,0.0288743,-0.12399,1.64581,-0.316826,0.144111,0.0565161,-0.935767
173.433,2.35,0.0285504,-0.121812,1.64518,-0.336012,0.142068,0.0584794,-0.929243
173.442,2.359,0.028305,-0.119948,1.6451,-0.316582,0.146415,0.0578696,-0.935409
173.45,2.367,0.0277014,-0.118415,1.64234,-0.317741,0.15479,0.0571055,-0.933713
173.458,2.375,0.0269236,-0.117433,1.64111,-0.331012,0.145862,0.0618689,-0.93023
173.467,2.384,0.0262775,-0.117082,1.64233,-0.330761,0.142657,0.0635709,-0.930701
173.475,2.392,0.025293,-0.116868,1.64035,-0.328943,0.147617,0.064642,-0.930498
173.483,2.4,0.024411,-0.117201,1.64007,-0.330925,0.149421,0.0669836,-0.929341
173.492,2.409,0.02373,-0.118342,1.64142,-0.367723,0.140031,0.0721722,-0.916495
173.5,2.417,0.0221546,-0.119047,1.63676,-0.324895,0.162302,0.0703249,-0.929062
